City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,nantucket,90,US,1522442220,100,41.28,-70.1,50.0,10.29
282,fukue,20,JP,1522441800,70,35.03,136.69,44.6,11.41
283,izhma,56,RU,1522444165,67,65.01,53.91,10.18,7.18
284,cabo rojo,5,PR,1522439400,54,18.09,-67.15,78.8,17.22
285,barcelos,40,PT,1522441800,70,41.53,-8.62,53.6,12.75
286,blackwater,90,GB,1522443000,93,51.33,-0.78,42.8,12.75
287,severobaykalsk,44,RU,1522444166,83,55.65,109.32,18.28,2.59
288,klaksvik,56,FO,1522443000,100,62.23,-6.59,32.0,10.2
289,mitu,36,IR,1522444160,95,36.2,46.09,37.63,3.6
290,luderitz,0,NA,1522440000,68,-26.65,15.16,68.0,13.87
291,samarai,24,PG,1522444161,100,-10.62,150.67,83.08,25.19
292,codrington,88,AU,1522444162,96,-28.95,153.24,67.51,3.6
293,nsanje,0,MZ,1522444170,85,-16.92,35.26,77.5,7.85
294,springbok,0,ZA,1522444164,87,-29.67,17.88,53.29,2.71
295,kurilsk,0,RU,1522444165,93,45.23,147.88,30.03,12.66
296,sosnovoborsk,20,RU,1522441800,58,56.12,93.34,26.6,17.9
297,altagracia de orituco,36,VE,1522444167,54,9.86,-66.38,86.01,12.44
298,walvis bay,0,NA,1522440000,82,-22.95,14.51,62.6,4.7
299,ankola,20,IN,1522444169,100,14.67,74.3,76.33,5.73
300,strezhevoy,0,RU,1522441800,70,60.73,77.6,-0.41,6.71
301,tarakan,44,ID,1522444170,100,3.3,117.63,79.03,3.83
302,margate,75,AU,1522441800,76,-43.03,147.26,50.0,5.82
303,norman wells,5,CA,1522440000,42,65.28,-126.83,6.8,4.7
304,caxito,0,BR,1522443600,74,-22.65,-42.51,80.6,6.93
305,butaritari,88,KI,1522443877,100,3.07,172.79,82.63,14.79
306,praia,40,BR,1522440000,45,-20.25,-43.81,82.4,5.82
307,two hills,0,CA,1522444173,84,53.71,-111.75,8.2,8.75
308,san angelo,1,US,1522443060,27,31.46,-100.44,73.4,8.05
309,grootfontein,8,NA,1522444174,95,-19.56,18.1,63.24,3.27
310,vardo,90,US,1522443300,53,39.62,-77.74,55.4,13.87
311,burnie,44,AU,1522444182,100,-41.05,145.91,58.15,7.4
312,sitka,0,US,1522444175,59,37.17,-99.65,61.21,18.81
313,laguna,5,MX,1522439040,20,27.52,-110.01,86.0,10.29
314,kanashevo,0,RU,1522441800,57,55.21,62.07,19.4,13.42
315,mahebourg,75,MU,1522440000,83,-20.41,57.7,80.6,9.17
316,hay river,75,CA,1522440000,46,60.82,-115.79,6.8,16.11
317,puerto colombia,0,CO,1522440000,66,10.99,-74.96,84.2,19.46
318,naples park,20,US,1522439580,61,26.26,-81.81,84.2,14.99
319,san juan evangelista,40,MX,1522438980,65,17.88,-95.14,80.6,23.04
320,san ramon,40,NI,1522440000,51,12.92,-85.84,80.6,11.41
321,medea,20,DZ,1522441800,62,36.27,2.77,57.2,6.93
322,naron,75,ES,1522443600,87,43.52,-8.15,46.4,19.46
323,rawson,0,AR,1522444189,25,-43.3,-65.11,76.6,14.79
324,quesnel,90,CA,1522442400,58,52.98,-122.49,26.6,18.34
325,halifax,90,CA,1522440000,100,44.65,-63.58,48.2,14.99
326,santa fe,20,AR,1522444175,49,-31.62,-60.7,86.32,3.27
327,ende,24,ID,1522444191,100,-8.84,121.65,79.84,3.71
328,iseyin,0,NG,1522444184,77,7.97,3.6,78.54,3.71
329,madimba,75,CM,1522440000,88,4.42,9.93,82.4,2.24
330,las vegas,40,US,1522443360,13,36.17,-115.15,78.8,3.38
331,sur,0,OM,1522443919,76,22.57,59.53,81.46,6.62
332,terny,92,UA,1522444186,100,50.99,33.98,36.37,13.78
333,oksfjord,75,NO,1522443000,74,70.24,22.35,28.4,8.05
334,ferrol,75,ES,1522443600,87,43.48,-8.23,46.4,19.46
335,lagoa,75,PT,1522441800,82,37.14,-8.45,57.2,23.04
336,wilmington,90,US,1522443300,76,39.75,-75.55,53.6,18.34
337,khammam,0,IN,1522444189,91,17.25,80.15,76.24,5.5
338,marabba,36,SD,1522444197,70,12.35,32.18,75.88,4.83
339,inverness,75,GB,1522443000,93,57.48,-4.23,37.4,10.29
340,denpasar,0,ID,1522444190,100,-8.65,115.22,69.63,1.7
341,tiznit,0,MA,1522444191,87,29.7,-9.73,57.97,6.62
342,guymon,75,US,1522443180,54,36.68,-101.48,64.4,25.28
343,valparaiso,40,US,1522442100,42,41.47,-87.06,46.4,4.7
344,griffith,0,AU,1522444192,82,-34.29,146.06,49.96,2.93
345,manoel urbano,36,BR,1522444002,82,-8.84,-69.26,82.27,2.48
346,nome,1,US,1522443300,33,30.04,-94.42,77.0,6.93
347,kayerkan,80,RU,1522444201,85,69.35,87.76,8.34,11.88
348,sapele,12,NG,1522443921,73,5.89,5.68,82.72,5.84
349,nelson bay,90,AU,1522441800,88,-32.72,152.14,71.6,11.41
350,verkhnetulomskiy,40,RU,1522441800,53,68.61,31.8,24.8,2.24
351,manutuke,8,NZ,1522444196,92,-38.68,177.91,61.21,5.39
352,tiksi,0,RU,1522444197,54,71.64,128.87,-18.67,5.61
353,uryupinsk,44,RU,1522444205,86,50.8,42.01,20.53,10.42
354,ucluelet,40,CA,1522440000,76,48.94,-125.55,50.0,6.93
355,siuna,56,NI,1522444133,73,13.73,-84.78,81.51,3.38
356,gawler,20,AU,1522441800,87,-34.6,138.75,51.8,4.16
357,tessalit,0,ML,1522444199,22,20.2,1.01,77.14,10.98
358,carutapera,88,BR,1522444200,92,-1.2,-46.02,80.02,3.04
359,zaraza,92,VE,1522444200,56,9.35,-65.33,86.05,12.77
360,waingapu,20,ID,1522444201,99,-9.65,120.26,70.03,1.7
361,kenai,1,US,1522439760,47,60.55,-151.26,33.8,13.87
362,aklavik,20,CA,1522440000,42,68.22,-135.01,8.6,4.7
363,nanortalik,0,GL,1522444203,100,60.14,-45.24,33.54,15.35
364,lorengau,0,PG,1522443951,100,-2.02,147.27,82.09,7.52
365,kerchevskiy,88,RU,1522444203,82,59.95,56.29,23.59,13.44
366,kyzyl-suu,0,KG,1522444211,100,42.34,78.0,34.71,2.93
367,beira,75,ES,1522443600,87,43.2,-8.36,46.4,19.46
368,akdagmadeni,88,TR,1522444205,98,39.66,35.88,36.96,2.59
369,clyde river,90,CA,1522442460,84,70.47,-68.59,3.2,16.11
370,teocuitatlan de corona,20,MX,1522439460,14,20.09,-103.38,82.4,11.41
371,camacha,20,PT,1522441800,67,33.08,-16.33,60.8,10.29
372,geraldton,20,CA,1522440000,33,49.72,-86.95,15.8,9.17
373,isangel,56,VU,1522444049,100,-19.55,169.27,79.57,17.58
374,buin,0,CL,1522443600,26,-33.73,-70.74,84.2,14.99
375,baryshivka,90,UA,1522441800,100,50.36,31.33,37.4,6.71
376,likasi,44,CD,1522444208,95,-10.99,26.74,64.63,4.38
377,jalu,0,LY,1522444208,47,29.03,21.55,60.99,7.07
378,college station,1,US,1522443300,40,30.63,-96.33,73.4,9.17
379,semypolky,90,UA,1522441800,100,50.72,30.95,37.4,6.71
380,anadyr,90,RU,1522440000,90,64.73,177.51,35.6,11.18
381,male,92,UA,1522444211,96,50.74,33.7,37.27,12.77
382,altay,92,CN,1522444211,88,47.83,88.13,32.41,5.61
383,quatre cocos,75,MU,1522440000,83,-20.21,57.76,80.6,9.17
